id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,365385,0,3,1071,386,1021.75,179.015625,1.0479202270507812,0.9919058084487915,0,0,1072,603
1,116802,0,467,1071,133,418.75,499.359375,1.034913182258606,0.9718587398529053,0,0,1072,603
2,39206,582,231,188,357,586.25,329.765625,1.0272619724273682,0.9752815961837769,0,0,1072,603
3,188662,0,382,1071,218,954.75,537.046875,0.9975631237030029,0.9581938982009888,0,0,1072,603
4,31519,456,191,187,387,519.25,480.515625,0.9966977834701538,0.960500180721283,0,0,1072,603
5,188597,0,221,1071,379,686.75,574.734375,0.9963878393173218,0.9612850546836853,0,0,1072,603
6,189361,0,6,1071,594,385.25,593.578125,0.9914047718048096,0.9648439288139343,0,0,1072,603
7,25568,759,383,312,85,988.25,405.140625,0.9886062145233154,0.9650540947914124,0,0,1072,603
8,68792,0,381,1071,106,418.75,461.671875,0.9854944944381714,0.964142918586731,0,0,1072,603
9,1817,668,253,57,57,686.75,292.078125,0.9786654710769653,0.9841789603233337,0,0,1072,603
10,41568,0,389,601,98,385.25,442.828125,0.9726450443267822,0.9597674012184143,0,0,1072,603
11,1016,695,424,47,35,720.25,442.828125,0.9665635824203491,0.984329104423523,0,0,1072,603
12,3900,453,249,235,83,586.25,310.921875,0.9655317068099976,0.9736642241477966,0,0,1072,603
13,798,455,190,38,24,485.75,197.859375,0.9612055420875549,0.9863013625144958,0,0,1072,603
14,277,515,565,25,13,519.25,574.734375,0.9575566053390503,0.982206404209137,0,0,1072,603
15,1887,598,232,127,78,720.25,292.078125,0.9573196172714233,0.9551083445549011,0,0,1072,603
16,39459,496,230,274,358,753.75,461.671875,0.9438828229904175,0.960052490234375,0,0,1072,603
17,225166,0,3,1071,252,184.25,235.546875,0.9401460886001587,0.9529078602790833,0,0,1072,603
18,583,600,339,47,23,619.75,348.609375,0.9349170923233032,0.9897435903549194,0,0,1072,603
19,409,949,509,44,13,988.25,518.203125,0.9306705594062805,0.9759615659713745,0,0,1072,603
20,1096,453,249,52,34,485.75,273.234375,0.9305816292762756,0.9801084995269775,0,0,1072,603
21,2893,0,200,102,40,50.25,216.703125,0.924829363822937,0.9518194198608398,0,0,1072,603
22,378,269,534,43,11,284.75,537.046875,0.9226539134979248,0.9894459247589111,0,0,1072,603
23,1013,455,190,55,24,485.75,197.859375,0.9224276542663574,0.9643545150756836,0,0,1072,603
24,403,364,469,44,11,385.25,480.515625,0.9205585718154907,0.9754902124404907,0,0,1072,603
25,358,512,271,21,19,519.25,273.234375,0.9169700741767883,0.9833333492279053,0,0,1072,603
26,326,409,573,49,9,418.75,574.734375,0.9158562421798706,0.9697884917259216,0,0,1072,603
27,158,885,493,24,7,887.75,499.359375,0.915285050868988,0.9748427867889404,0,0,1072,603
28,229,886,493,38,8,921.25,499.359375,0.8970569372177124,0.9613733887672424,0,0,1072,603
29,1059,284,465,59,25,284.75,480.515625,0.8906155228614807,0.9720410108566284,0,0,1072,603
30,219,836,479,39,7,854.25,480.515625,0.889424741268158,0.9639639854431152,0,0,1072,603
31,224,995,518,32,10,1021.75,518.203125,0.8886741995811462,0.9867256879806519,0,0,1072,603
32,238,801,553,57,6,854.25,555.890625,0.8840051889419556,0.9590163826942444,0,0,1072,603
33,70,912,496,13,5,921.25,499.359375,0.8836701512336731,0.98591548204422,0,0,1072,603
34,245,886,493,92,27,887.75,499.359375,0.8810713291168213,0.9674796462059021,0,0,1072,603